AktivitÃ¤ts-ID;AktivitÃ¤tsdatum;Name der AktivitÃ¤t;AktivitÃ¤tsart;AktivitÃ¤tsbeschreibung;Verstrichene Zeit;Distanz;Max. Herzfrequenz;Relative Leistung;Pendeln;Hinweis zur PrivatsphÃ¤re fÃ¼r AktivitÃ¤ten;AktivitÃ¤tsausrÃ¼stung;Dateiname;Sportlergewicht;Fahrradgewicht;Verstrichene Zeit_1;Bewegungszeit;Distanz_2;HÃ¶chstgeschw.;Durchschnittliche Geschwindigkeit;HÃ¶henzunahme;HÃ¶henunterschied;Min. HÃ¶he;Max. HÃ¶he;Max. Steigung;Durchschnittliche Steigung;Durchschnittliche positive Steigung;Durchschnittliche negative Steigung;Max. Tritt-/Schrittfrequenz;Durchschnittliche Trittfrequenz;Max. Herzfrequenz_3;Durchschnittliche Herzfrequenz;Max. Watt;Durchschnittliche Watt;Kalorien;Max. Temperatur;Durchschnittliche Temperatur;Relative Leistung_4;Gesamtarbeit;Anzahl LÃ¤ufe;Bergaufzeit;Bergabzeit;Andere Zeit;GefÃ¼hlte Anstrengung;Art;Startzeit;Gewichtete durchschnittliche Leistung;Leistungszahl;GefÃ¼hlte Anstrengung verwenden;GefÃ¼hlte relative Leistung;Pendeln_5;Insgesamt gestemmtes Gewicht;Von Upload;Auf Steigung angepasste Distanz;Wetterbeobachtungszeit;Wetterlage;Wetter: Temperatur;Scheinbare Temperatur;Taupunkt;Luftfeuchtigkeit;Wetter: Druck;Windgeschwindigkeit;WindbÃ¶e;Windrichtung;NiederschlagsintensitÃ¤t;Sonnenaufgangszeit;Sonnenuntergangszeit;Mondphase;Fahrrad;AusrÃ¼stung;Niederschlagswahrscheinlichkeit;Niederschlagsart;Wolkendecke;Wetter: Sichtbarkeit;UV-Index;Wetter: Ozon;Sprunganzahl;Schwierigkeit insgesamt;Durchschnittlicher Flow;Markiert;Durchschnittsgeschwindigkeit im Aufzeichnungszeitraum;Auf Schotter zurÃ¼ckgelegte Distanz;Neu getestete Distanz;Neu getestete Schotterdistanz;AktivitÃ¤tsanzahl;Schritte insgesamt;Eingesparte COâ‚‚-Emissionen;Pool-LÃ¤nge;Trainingsbelastung;IntensitÃ¤t;Durchschnittliches auf Steigung angepasstes Tempo;Medien
1632074245;11.06.2018 16:07;...;Radfahrt;;4685;31,30;;;FALSCH;;;activities/1632074245.gpx;62;;4685;4626;31301.30078;14.60000038;;614.1763916;;469.5;653;49.29999924;0.007667413;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1634189483;12.06.2018 16:33;easy run ;Lauf;;3834;12,42;;;FALSCH;;;activities/1634189483.gpx;62;;3834;3812;12419.2002;10;;182.8018341;;509;582.5;24.10000038;0.030597784;;;;;;;;;989.4400024;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1640005355;15.06.2018 07:53;doch no gÃ¤gÃ¤wind gha;Radfahrt;;21831;105,83;;;FALSCH;;;activities/1640005355.gpx;70;;21831;16498;105829.6016;20.10000038;;1356.319824;;427.2999878;681;49.40000153;0;;;;;;;;144.3054504;2495.796631;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1668224674;28.06.2018 17:54;Lauf am Abend;Lauf;;2814;9,76;;;FALSCH;;;activities/1668224674.gpx;62;;2814;2811;9763.200195;7.5;;114.0505371;;539.2000122;582;22.60000038;0.038921665;;;;;;;;;766.7179565;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1670166535;29.06.2018 17:57;Lauf am Abend;Lauf;;2734;9,63;;;FALSCH;;;activities/1670166535.gpx;62;;2734;2705;9636.799805;7.5;;113.2684631;;539.2999878;582;23.10000038;0.014527644;;;;;;;;;756.4034424;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1683052127;05.07.2018 17:50;Lauf am Abend;Lauf;;1918;5,83;;;FALSCH;;;activities/1683052127.gpx;62;;1918;1889;5835.100098;5.699999809;;93.79399109;;539.4000244;582;22.5;0.55526042;;;;;;;;;467.6577148;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1689095391;08.07.2018 11:00;Fahrt am Nachmittag;Radfahrt;;12253;71,92;;;FALSCH;;;activities/1689095391.gpx;62;;12253;10713;71920.5;18.29999924;;964.6186523;;510;808.7999878;50;0.00806446;;;;;;;;145.2147369;1734.592407;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1737766520;30.07.2018 10:35;Mittagsfahrt;Radfahrt;;10828;56,00;;;FALSCH;;;activities/1737766520.gpx;62;;10828;8407;56004.19922;19.10000038;;1039.400879;;540;1119;36.29999924;0.010177808;;;;;;;;159.1615906;1491.953491;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1739562144;31.07.2018 08:34;Lauf am Morgen;Lauf;;3440;7,66;;;FALSCH;;;activities/1739562144.gpx;62;;3440;2405;7660.899902;14.5;;143.5302887;;509;582;49.5;0.368102968;;;;;;;;;624.6228027;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1742309747;01.08.2018 11:52;Fahrt am Nachmittag;Radfahrt;;2189;10,23;;;FALSCH;;;activities/1742309747.gpx;62;;2189;1612;10236.2002;12.69999981;;176.5379333;;508;569;42.59999847;0.00586155;;;;;;;;142.6525421;256.4016418;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
